Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors,BHK_Number,Property_Title,Locality_area
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,25000,1,1.0,600.0,No,No,4.0,6.0,1,Flat,Chinnapanna Halli
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,700,Family,Available now,30000,1,2.0,650.0,No,No,3.0,6.0,1,Flat,Chinnapanna Halli
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,22000,1,1.0,600.0,No,No,4.0,6.0,1,Flat,Munnekollal
1 BHK Flat for Rent,"Bellandur, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,26000,1,1.0,600.0,No,No,5.0,5.0,1,Flat,Bellandur
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,30000,1,1.0,600.0,No,No,3.0,6.0,1,Flat,Brookefield
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,18000,1,1.0,600.0,No,Yes,3.0,4.0,1,Flat,Thanisandra
4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,Available now,160000,4,4.0,4000.0,No,Yes,18.0,18.0,4,Penthouse,Whitefield
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Fully Furnished,1655,Family / Bachelor,Available now,70000,3,2.0,1490.0,No,Yes,25.0,26.0,3,Flat,Gunjur Village
2 BHK Flat for Rent,"Bommanahalli, Bangalore",Semi Furnished,1000,Family,Available now,21000,2,1.0,900.0,No,No,2.0,4.0,2,Flat,Bommanahalli
3 BHK Flat for Rent,"Volagerekallahalli, Bangalore",Semi Furnished,1898,Family,Available now,50000,4,2.0,1710.0,No,Yes,19.0,29.0,3,Flat,Volagerekallahalli
4 BHK Villa for Rent,"Dommasandra, Bangalore",Semi Furnished,1716,Family,Available now,32000,4,2.0,1545.0,No,Yes,3.0,6.0,4,Villa,Dommasandra
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,18000,1,1.0,500.0,No,No,3.0,4.0,1,Independent Builder Floor,Muneshwara Nagar
2 BHK Flat for Rent,"Electronic City, Bangalore",Semi Furnished,1201,Family / Bachelor,Available now,23000,2,1.0,1080.0,No,No,1.0,5.0,2,Flat,Electronic City
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,18000,1,1.0,850.0,No,No,5.0,6.0,1,Flat,Munnekollal
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,35000,2,1.0,1100.0,No,No,2.0,4.0,2,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"Electronic City, Bangalore",Fully Furnished,1193,Family / Bachelor,Available now,44000,2,2.0,1075.0,No,Yes,1.0,5.0,3,Flat,Electronic City
3 BHK Flat for Rent,"Begur, Bangalore",Fully Furnished,1543,Family / Bachelor,Available now,42000,3,2.0,1390.0,No,Yes,5.0,11.0,3,Flat,Begur
4 BHK Duplex for Rent,"HSR Layout, Bangalore",Fully Furnished,6005,Family,Available now,390000,5,2.0,5400.0,No,No,3.0,6.0,4,Duplex,HSR Layout
2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,Available now,32000,2,2.0,1249.0,No,Yes,4.0,5.0,2,Flat,Doddanekundi
2 BHK Flat for Rent,"Hulimavu, Bangalore",Fully Furnished,1022,Family,Available now,30000,2,1.0,920.0,No,Yes,2.0,3.0,2,Flat,Hulimavu
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,22999,2,1.0,550.0,No,No,2.0,5.0,2,Independent Builder Floor,Bommanahalli
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,22995,2,1.0,550.0,No,No,3.0,5.0,2,Independent Builder Floor,Bommanahalli
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1250,Family,Available now,35000,2,1.0,1200.0,No,No,4.0,6.0,2,Flat,Whitefield
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,38000,1,1.0,850.0,No,No,1.0,5.0,1,Independent Builder Floor,HSR Layout
3 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1650,Family,Available now,38000,3,2.0,1455.0,Yes,Yes,2.0,3.0,3,Flat,Jakkur
2 BHK Flat for Rent,"Allalasandra, Bangalore",Semi Furnished,1230,Family / Bachelor / Company,Available now,28000,2,2.0,1150.0,No,Yes,1.0,4.0,2,Flat,Allalasandra
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Semi Furnished,585,Family / Bachelor,Available now,16000,1,1.0,510.0,No,No,3.0,6.0,1,Flat,R.K. Hegde Nagar
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,40000,2,1.0,900.0,No,Yes,1.0,5.0,2,Flat,Gunjur Village
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,45000,2,1.0,850.0,Yes,Yes,13.0,26.0,2,Flat,Varthur
2 BHK Flat for Rent,"Carmelaram, Bangalore",Fully Furnished,1000,Family,Available now,50000,2,1.0,936.0,Yes,Yes,7.0,12.0,2,Flat,Carmelaram
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,21999,1,1.0,450.0,No,No,3.0,5.0,1,Independent Builder Floor,BTM Layout
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,Available now,22999,1,1.0,500.0,No,No,4.0,5.0,1,Independent Builder Floor,BTM Layout
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,23999,1,1.0,500.0,No,No,3.0,5.0,1,Independent Builder Floor,BTM Layout
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,1000,Family / Bachelor / Company,Available now,24999,1,1.0,450.0,No,No,3.0,5.0,1,Flat,BTM Layout
1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,Available now,17000,1,1.0,550.0,No,No,1.0,5.0,1,Flat,"Hebbal Kempapura, Byatarayanapura CMC And OG Part"
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,400,Family / Bachelor,Available now,17000,1,1.0,850.0,No,No,3.0,6.0,1,Independent House,Mahadevapura
2 BHK Flat for Rent,"Bellandur, Bangalore",Fully Furnished,1043,Family / Bachelor,Available now,39000,2,1.0,903.0,No,Yes,3.0,5.0,2,Flat,Bellandur
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,999,Family / Bachelor / Company,Available now,24999,1,1.0,500.0,No,No,3.0,6.0,1,Independent Builder Floor,BTM Layout
2 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,21000,2,1.0,900.0,Yes,Yes,1.0,3.0,2,Flat,Narayanapura
4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,Available now,100000,4,1.0,1890.0,No,Yes,12.0,34.0,4,Flat,Nagavara
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Company,Available now,35000,2,2.0,627.0,Yes,Yes,12.0,23.0,2,Flat,Thanisandra
2 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,25000,2,1.0,900.0,Yes,Yes,1.0,4.0,2,Flat,Kothanur
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Company,Available now,32000,2,2.0,627.0,Yes,Yes,9.0,23.0,2,Flat,Thanisandra
